Studio,Category,Original criterion,Simplified requirement,Nestlé/WPP responsibility,Current status,Evidence,Missing requirement,Next action,Owner,Dependency,Target date
Philippines,Operational Excellence & Hygiene,Does the Nestlé utilize BrandShare?,Consistent BrandShare adoption,Nestlé,Not fulfilled,"Status workbook: For Updating — Tool use may already be active, but consistency and decision making through the tool should keep improving",Consistent BrandShare adoption,BrandShare or agreed workflow tool used as source of truth,Shared,Source dependency: Not provided · Rule-based prerequisites: Consistent shared workflow and approval process: Open; Access to and use of the Nestlé tool stack: Fulfilled,Not provided
Philippines,Strategic Thinking,Are fire briefs cascaded to the Content Studio?,Complete briefs with sufficient lead time and timely challenge,Nestlé,Fulfilled,Status workbook: For Updating — Stronger briefs and earlier briefing are one of the main unlocks for improving strategy and creative quality,None identified in scorecard,"Briefs arrive early, complete, and strategically useful","Nestlé for brief quality, WPP for QA",Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Philippines,Strategic Thinking,"Is there one shared dashboard to measure asset quantity, creative quality, speed and effectiveness?",Shared operational and effectiveness dashboard,Nestlé,Not fulfilled,"Status workbook: For Updating — Dashboarding should become a stronger management tool, not just a reporting view",Shared operational and effectiveness dashboard,"One agreed dashboard for output, quality, speed, and effectiveness",Shared,Source dependency: Not provided · Rule-based prerequisites: Aligned and cascaded KPIs: Fulfilled; Embedded analyst or insight capability: Fulfilled,Not provided
Philippines,Strategic Thinking,"Are Campaign Strategies cascaded to the Studio, or is the Studio given the opportunity to Strategize content planning?",Campaign strategy embedded in content planning,Nestlé,Fulfilled,Status workbook: For Updating — Content strategy alignment is still below RED level and needs to become an explicit step in the workflow,None identified in scorecard,Strategy should actively shape content planning,WPP,Source dependency: Not provided · Rule-based prerequisites: Dedicated content strategy capability: Fulfilled; Complete briefs with sufficient lead time and timely challenge: Fulfilled,Not provided
Philippines,Production Excellence,Are previous learnings and insights shared during briefs?,"Prior learnings applied to briefs, planning and optimization",Nestlé,Fulfilled,Status workbook: For Updating — Philippines should now move from having reviews to making sure those reviews clearly influence the next cycle of work,None identified in scorecard,"Pre, in, and post campaign learning cycle exists and changes future work",Shared,Source dependency: Not provided · Rule-based prerequisites: Aligned and cascaded KPIs: Fulfilled; Shared operational and effectiveness dashboard: Open; Embedded analyst or insight capability: Fulfilled,Not provided
Philippines,Production Excellence,Are brand creative mandatories and campaign masters cascaded to the Content Studio?,Brand fundamentals and campaign masters embedded in creative work,Nestlé,Fulfilled,"Status workbook: For Updating — This is one of the biggest next steps. Creative quality needs defined checkpoints, owners, and standards",None identified in scorecard,"Creative work is reviewed through a formal quality lens, not subjective opinion only",WPP,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Philippines,Production Excellence,Has the Studio been provided access to the Nestlé toolstack?,Access to and use of the Nestlé tool stack,Nestlé,Fulfilled,Status workbook: For Updating — Mature markets can still get messy if tool discipline is assumed rather than managed,None identified in scorecard,"Tool ownership, training, and usage standards are clear",Shared,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Philippines,Production Excellence,Does the Studio have access to CreativeX across all serviced brands?,CreativeX access and compliant use,Nestlé,Fulfilled,"Status workbook: For Updating — This is a key growth area, especially if the market wants to raise output quality further",None identified in scorecard,Quality tools or review systems support stronger creative consistency,WPP,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Fulfilled,Not provided
Philippines,Production Excellence,Has the Studio been provided access to TalkWalker?,Talkwalker or equivalent audience and trend intelligence,Nestlé,Not fulfilled,"Status workbook: For Updating — If the studio wants to lead more culturally, this should become a formal part of the operating rhythm",Talkwalker or equivalent audience and trend intelligence,Trend signals actively shape ideas and adaptive opportunities,Shared,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Fulfilled; Embedded analyst or insight capability: Fulfilled,Not provided
Philippines,Production Excellence,"Has the Studio been onboarded on ContentHub, and are upload approvals done in a timely manner?","ContentHub onboarding, upload and tagging discipline",Nestlé,Not fulfilled,"Status workbook: For Updating — If the market is already mature, the next step is making the library more useful for reuse, quality control, and learning","ContentHub onboarding, upload and tagging discipline",Content Hub or equivalent is actively used and structured,Shared,Source dependency: Not provided · Rule-based prerequisites: Consistent shared workflow and approval process: Open; Access to and use of the Nestlé tool stack: Fulfilled,Not provided
Philippines,Production Excellence,"Has the Studio been provided access to Nestlé AI tools (Firefly, Getty)?",Compliant AI access and practical workflow use,Nestlé,Fulfilled,"Status workbook: For Updating — Philippines is already ahead of many markets, but use cases should be codified so the model is repeatable and teachable",None identified in scorecard,"AI is used in ways that improve workflow, adaptation, analysis, and planning",Shared,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Fulfilled,Not provided
Philippines,Production Excellence,Have the Studio creatives been provided Nestlé licenses for Adobe Creative Cloud?,Adobe Creative Cloud access and production use,Nestlé,Fulfilled,Status workbook: For Updating — The next step is making sure tools support more craft consistency and efficient scaling,None identified in scorecard,"Production, editing, adaptation, templating, and QC tools fit the work",WPP,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Fulfilled; Dedicated internal or external production capability: Fulfilled,Not provided
Philippines,Production Excellence,"Is multiplicity embedded in brief requirements, and supported by Media placements?",Multiplicity embedded in briefing and content planning,Nestlé,Fulfilled,"Status workbook: For Updating — Philippines is likely stronger than most markets here, but it can still be more intentional and systematic",None identified in scorecard,Content is designed for re expression from the start,WPP,"Source dependency: Not provided · Rule-based prerequisites: Complete briefs with sufficient lead time and timely challenge: Fulfilled; Media, CRM and performance collaboration embedded in planning: Fulfilled",Not provided
Philippines,Category Expertise,"Has the Media, CRM and Performance Agencies been endorsed to the Content Studio for collaboration efforts?","Media, CRM and performance collaboration embedded in planning",Nestlé,Fulfilled,Status workbook: For Updating — This needs to be tighter if the studio is to move from strong execution into more intelligent content orchestration,None identified in scorecard,"Media, CRM, and performance stakeholders actively connect with content planning",Shared,Source dependency: Not provided · Rule-based prerequisites: Brand stakeholders involved in content planning: Fulfilled; Regular leadership and brand governance cadence: Fulfilled,Not provided
Philippines,Category Expertise,Are the correct briefs cascaded to the Content Studio?,Correct brief routing and redirection,Nestlé,Fulfilled,"Status workbook: For Updating — If Content studio receives a brief that is more suited for a different team (NBS, AOR, etc.), it should be redirected to the correct team",None identified in scorecard,"Briefs are filtered, and redirected (if necessary), to the correct teams",Shared,Source dependency: Not provided · Rule-based prerequisites: Regular leadership and brand governance cadence: Fulfilled; Consistent shared workflow and approval process: Open,Not provided
Philippines,Category Expertise,Has the Studio been endorsed to AOR and NBS?,Defined collaboration with AOR and NBS,Nestlé,Fulfilled,"Status workbook: For Updating — If Content studio receives a brief that is more suited for a different team (NBS, AOR, etc.), it should be redirected to the correct team",None identified in scorecard,"Briefs are filtered, and redirected (if necessary), to the correct teams",Shared,Source dependency: Not provided · Rule-based prerequisites: Correct brief routing and redirection: Fulfilled; Regular leadership and brand governance cadence: Fulfilled,Not provided
Philippines,Category Expertise,"Has the Studio been properly onboarded on the Brand/s (including but not limited to audience/s, product/s, brand mandatories)?","Current brand, audience and category knowledge",Nestlé,Fulfilled,"Status workbook: For Updating — Have there been any new campaigns that push creative quality? Is there anything ""new"" that RED has developed and can own?",None identified in scorecard,"Strong creative brand knowledge, constant skill-building",WPP,Source dependency: Not provided · Rule-based prerequisites: Brand stakeholders involved in content planning: Fulfilled,Not provided
Philippines,Operational Excellence & Hygiene,Is there a senior WPP Studio Lead?,Senior WPP studio leadership,WPP,Fulfilled,"Status workbook: Done — Maan Delos Reyes, Ken Llave",None identified in scorecard,"Strong WPP studio lead with authority across operations, quality, strategy, and client management",WPP,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Philippines,Operational Excellence & Hygiene,Is there a WPP Creative Lead?,Dedicated WPP creative leadership,WPP,Fulfilled,Status workbook: Done — Marc De Vera,None identified in scorecard,"Creative quality owner who actively improves craft, platform native thinking, and content ambition",WPP,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Philippines,Operational Excellence & Hygiene,"Is there a Creator, Community, or Adaptive Content Specialist?","Creator, community or adaptive-content specialist coverage",WPP,Fulfilled,Status workbook: Not Applicable — But available through Flex,None identified in scorecard,"Creator, community, or adaptive content specialists where scope demands it",WPP,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Fulfilled,Not provided
Philippines,Operational Excellence & Hygiene,Is there a WPP Production Lead?,Dedicated WPP production leadership,WPP,Not fulfilled,"Status workbook: On-Going — Available through Flex, volume discussion for 2027",Dedicated WPP production leadership,"Strong production lead with accountability for quality, speed, efficiency, and partner integration",WPP,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Fulfilled; Commercial documents issued to agreed timelines: Fulfilled,Not provided
Philippines,Operational Excellence & Hygiene,Are KPIs aligned and cascaded and agreed on?,Aligned and cascaded KPIs,WPP,Fulfilled,Status workbook: For Updating — This needs to become tighter and more consistent so the studio is not only seen as productive but demonstrably effective,None identified in scorecard,KPIs are defined at the start and linked to business and content outcomes,"Nestlé sets business priorities, WPP translates into content metrics",Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Philippines,Operational Excellence & Hygiene,Is the Content Studio team built to fulfill scope?,Team capability aligned to approved scope,WPP,Fulfilled,"Status workbook: On-Going — If Philippines is expected to raise culture intelligence, audience application, creative ambition, and production excellence, those expectations must be protected in scope and team design",None identified in scorecard,Every expected capability must be reflected in scope and resource,Shared,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Fulfilled; Commercial documents issued to agreed timelines: Fulfilled,Not provided
Philippines,Operational Excellence & Hygiene,Are CEs provided based on agreed timelines from date of brief?,Commercial documents issued to agreed timelines,WPP,Fulfilled,Status workbook: On-Going — Scope agreements should be completed and signed off by both parties before work is begun; PO issuance to follow shortly after,None identified in scorecard,Timely POs and Scope Closing,Shared,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Fulfilled,Not provided
Philippines,Operational Excellence & Hygiene,"Are legal, rights, talent and versioning cascades followed?","Legal, rights, talent and versioning requirements cascaded and followed",WPP,Fulfilled,"Status workbook: On-Going — Stronger creative ambition usually creates more complexity, so this needs to stay disciplined",None identified in scorecard,"Legal, rights, talent, and versioning processes are controlled",Shared,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Philippines,Operational Excellence & Hygiene,Does the Studio collaborate with Brand Stakeholders in Content Planning?,Brand stakeholders involved in content planning,WPP,Fulfilled,"Status workbook: For Updating — The market is strong, but earlier and better client participation in planning will improve strategic quality",None identified in scorecard,Brand stakeholders are not only approvers but planning partners,Nestlé,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Philippines,Operational Excellence & Hygiene,Are briefs challenged and additional needed information/materials requested in a timely manner?,Complete briefs with sufficient lead time and timely challenge,WPP,Fulfilled,Status workbook: For Updating — Stronger briefs and earlier briefing are one of the main unlocks for improving strategy and creative quality,None identified in scorecard,"Briefs arrive early, complete, and strategically useful","Nestlé for brief quality, WPP for QA",Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Philippines,Operational Excellence & Hygiene,Does the Studio Lead meet with the Nestlé Studio Manager/Owner on a monthly and/or quarterly basis?,Regular leadership and brand governance cadence,WPP,Fulfilled,"Status workbook: For Updating — Governance likely exists, but it should now include more quality, strategy, and capability topics, not just delivery and SLA",None identified in scorecard,"Working sessions, monthly operations, and quarterly strategic reviews are running with decisions",Shared,Source dependency: Not provided · Rule-based prerequisites: Dedicated Nestlé studio owner or manager: Fulfilled; Senior WPP studio leadership: Fulfilled,Not provided
Philippines,Operational Excellence & Hygiene,Are Brand Governance meetings in place with the Content Studio?,Regular leadership and brand governance cadence,WPP,Fulfilled,"Status workbook: For Updating — Governance likely exists, but it should now include more quality, strategy, and capability topics, not just delivery and SLA",None identified in scorecard,"Working sessions, monthly operations, and quarterly strategic reviews are running with decisions",Shared,Source dependency: Not provided · Rule-based prerequisites: Dedicated Nestlé studio owner or manager: Fulfilled; Senior WPP studio leadership: Fulfilled,Not provided
Philippines,Operational Excellence & Hygiene,Is a shared workflow tool used consistently?,Consistent shared workflow and approval process,WPP,Not fulfilled,"Status workbook: For Updating — The market may already be operating well, but RED requires continued process discipline as the model grows",Consistent shared workflow and approval process,Workflow tool is used consistently and approvals are structured,Shared,Source dependency: Not provided · Rule-based prerequisites: Regular leadership and brand governance cadence: Fulfilled,Not provided
Philippines,Operational Excellence & Hygiene,Does the Content Studio use BrandShare?,Consistent BrandShare adoption,WPP,Not fulfilled,"Status workbook: For Updating — Tool use may already be active, but consistency and decision making through the tool should keep improving",Consistent BrandShare adoption,BrandShare or agreed workflow tool used as source of truth,Shared,Source dependency: Not provided · Rule-based prerequisites: Consistent shared workflow and approval process: Open; Access to and use of the Nestlé tool stack: Fulfilled,Not provided
Philippines,Strategic Thinking,Is Strategy a dedicated capability in the Content Studio inherent in campaign planning?,Dedicated content strategy capability,WPP,Fulfilled,Status workbook: On-Going — Please confirm schedule of strategy workshop with Nestle SPOC from Strat team,None identified in scorecard,Dedicated content strategy capability embedded in the studio,WPP,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Fulfilled; Senior WPP studio leadership: Fulfilled,Not provided
Philippines,Strategic Thinking,Is there an analyst or insight function within the Content Studio?,Embedded analyst or insight capability,WPP,Fulfilled,"Status workbook: On-Going — Philippines is already stronger than most markets, but performance and audience intelligence need to be used more systematically to sharpen strategy",None identified in scorecard,Embedded analyst or insight function that shapes planning and optimization,WPP with Nestlé support on data access,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Fulfilled; Access to and use of the Nestlé tool stack: Fulfilled,Not provided
Philippines,Strategic Thinking,"Is there one shared dashboard to measure asset quantity, creative quality, speed and effectiveness?",Shared operational and effectiveness dashboard,WPP,Not fulfilled,"Status workbook: For Updating — Dashboarding should become a stronger management tool, not just a reporting view",Shared operational and effectiveness dashboard,"One agreed dashboard for output, quality, speed, and effectiveness",Shared,Source dependency: Not provided · Rule-based prerequisites: Aligned and cascaded KPIs: Fulfilled; Embedded analyst or insight capability: Fulfilled,Not provided
Philippines,Strategic Thinking,Is one clear Strategy embedded in Content Planning?,Campaign strategy embedded in content planning,WPP,Fulfilled,Status workbook: For Updating — Content strategy alignment is still below RED level and needs to become an explicit step in the workflow,None identified in scorecard,Strategy should actively shape content planning,WPP,Source dependency: Not provided · Rule-based prerequisites: Dedicated content strategy capability: Fulfilled; Complete briefs with sufficient lead time and timely challenge: Fulfilled,Not provided
Philippines,Production Excellence,Are brand learnings and campaign insights included in Strategy and Content Planning?,"Prior learnings applied to briefs, planning and optimization",WPP,Fulfilled,Status workbook: For Updating — Philippines should now move from having reviews to making sure those reviews clearly influence the next cycle of work,None identified in scorecard,"Pre, in, and post campaign learning cycle exists and changes future work",Shared,Source dependency: Not provided · Rule-based prerequisites: Aligned and cascaded KPIs: Fulfilled; Shared operational and effectiveness dashboard: Open; Embedded analyst or insight capability: Fulfilled,Not provided
Philippines,Production Excellence,Is creative work built on and reviewed based on brand fundamendals and campaign masters?,Brand fundamentals and campaign masters embedded in creative work,WPP,Fulfilled,"Status workbook: For Updating — This is one of the biggest next steps. Creative quality needs defined checkpoints, owners, and standards",None identified in scorecard,"Creative work is reviewed through a formal quality lens, not subjective opinion only",WPP,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Philippines,Production Excellence,Does the Content Studio use Nestlé-provided licenses in asset production?,Access to and use of the Nestlé tool stack,WPP,Fulfilled,Status workbook: For Updating — Mature markets can still get messy if tool discipline is assumed rather than managed,None identified in scorecard,"Tool ownership, training, and usage standards are clear",Shared,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Philippines,Production Excellence,"Do all boosted assets go through CX, with only 100% scored assets turned over?",CreativeX access and compliant use,WPP,Fulfilled,"Status workbook: For Updating — This is a key growth area, especially if the market wants to raise output quality further",None identified in scorecard,Quality tools or review systems support stronger creative consistency,WPP,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Fulfilled,Not provided
Philippines,Production Excellence,"Does the Studio use Talkwalker or any WPP tool to gather audience, search, social, CRM, performance or trends?",Talkwalker or equivalent audience and trend intelligence,WPP,Fulfilled,"Status workbook: For Updating — If the studio wants to lead more culturally, this should become a formal part of the operating rhythm",None identified in scorecard,Trend signals actively shape ideas and adaptive opportunities,Shared,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Fulfilled; Embedded analyst or insight capability: Fulfilled,Not provided
Philippines,Production Excellence,Are final assets uploaded to ContentHub and tagged correctly on a regular basis?,"ContentHub onboarding, upload and tagging discipline",WPP,Fulfilled,"Status workbook: For Updating — If the market is already mature, the next step is making the library more useful for reuse, quality control, and learning",None identified in scorecard,Content Hub or equivalent is actively used and structured,Shared,Source dependency: Not provided · Rule-based prerequisites: Consistent shared workflow and approval process: Open; Access to and use of the Nestlé tool stack: Fulfilled,Not provided
Philippines,Production Excellence,"Are AI Tools like WPP Open used to imrpve workflow, analysis and planning; Nestlé-compliant AI tools (Firefly) are used for adaptation and craft?",Compliant AI access and practical workflow use,WPP,Fulfilled,"Status workbook: For Updating — Philippines is already ahead of many markets, but use cases should be codified so the model is repeatable and teachable",None identified in scorecard,"AI is used in ways that improve workflow, adaptation, analysis, and planning",Shared,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Fulfilled,Not provided
Philippines,Production Excellence,Does the Studio utilize Nestlé licenses for Adobe Creative Cloud?,Adobe Creative Cloud access and production use,WPP,Fulfilled,Status workbook: For Updating — The next step is making sure tools support more craft consistency and efficient scaling,None identified in scorecard,"Production, editing, adaptation, templating, and QC tools fit the work",WPP,Source dependency: Not provided · Rule-based prerequisites: Access to and use of the Nestlé tool stack: Fulfilled; Dedicated internal or external production capability: Fulfilled,Not provided
Philippines,Production Excellence,Is content planned for multiplicity?,Multiplicity embedded in briefing and content planning,WPP,Fulfilled,"Status workbook: For Updating — Philippines is likely stronger than most markets here, but it can still be more intentional and systematic",None identified in scorecard,Content is designed for re expression from the start,WPP,"Source dependency: Not provided · Rule-based prerequisites: Complete briefs with sufficient lead time and timely challenge: Fulfilled; Media, CRM and performance collaboration embedded in planning: Fulfilled",Not provided
Philippines,Category Expertise,"Are media, CRM and performance insights embeded into content planning, timelines and content optimization?","Media, CRM and performance collaboration embedded in planning",WPP,Fulfilled,Status workbook: For Updating — This needs to be tighter if the studio is to move from strong execution into more intelligent content orchestration,None identified in scorecard,"Media, CRM, and performance stakeholders actively connect with content planning",Shared,Source dependency: Not provided · Rule-based prerequisites: Brand stakeholders involved in content planning: Fulfilled; Regular leadership and brand governance cadence: Fulfilled,Not provided
Philippines,Category Expertise,Are incorrect briefs redirected to NBS or other content partners?,Correct brief routing and redirection,WPP,Fulfilled,"Status workbook: For Updating — If Content studio receives a brief that is more suited for a different team (NBS, AOR, etc.), it should be redirected to the correct team",None identified in scorecard,"Briefs are filtered, and redirected (if necessary), to the correct teams",Shared,Source dependency: Not provided · Rule-based prerequisites: Regular leadership and brand governance cadence: Fulfilled; Consistent shared workflow and approval process: Open,Not provided
Philippines,Category Expertise,Does the Studio work with NBS?,Defined collaboration with AOR and NBS,WPP,Fulfilled,"Status workbook: For Updating — If Content studio receives a brief that is more suited for a different team (NBS, AOR, etc.), it should be redirected to the correct team",None identified in scorecard,"Briefs are filtered, and redirected (if necessary), to the correct teams",Shared,Source dependency: Not provided · Rule-based prerequisites: Correct brief routing and redirection: Fulfilled; Regular leadership and brand governance cadence: Fulfilled,Not provided
Philippines,Category Expertise,Does the Studio work with AOR?,Defined collaboration with AOR and NBS,WPP,Fulfilled,"Status workbook: For Updating — If Content studio receives a brief that is more suited for a different team (NBS, AOR, etc.), it should be redirected to the correct team",None identified in scorecard,"Briefs are filtered, and redirected (if necessary), to the correct teams",Shared,Source dependency: Not provided · Rule-based prerequisites: Correct brief routing and redirection: Fulfilled; Regular leadership and brand governance cadence: Fulfilled,Not provided
Philippines,Category Expertise,Is brand knowledge updated based on industry and brand movements?,"Current brand, audience and category knowledge",WPP,Fulfilled,"Status workbook: For Updating — Have there been any new campaigns that push creative quality? Is there anything ""new"" that RED has developed and can own?",None identified in scorecard,"Strong creative brand knowledge, constant skill-building",WPP,Source dependency: Not provided · Rule-based prerequisites: Brand stakeholders involved in content planning: Fulfilled,Not provided
Philippines,Category Expertise,Does the studio have a dedicated external or inhouse production or capability?,Dedicated internal or external production capability,WPP,Fulfilled,"Status workbook: For Updating — Per request basis, but RED has been able to fulfill incoming. Most complex: Homecourt. Incoming: Boost*",None identified in scorecard,Production build should be intentional and scalable,WPP,Source dependency: Not provided · Rule-based prerequisites: Clear annual scope by quantity and asset type: Fulfilled; Commercial documents issued to agreed timelines: Fulfilled; Dedicated WPP production leadership: Open,Not provided
Philippines,Category Expertise,Does the Studio utilize brand audience and segmentation in Content Planning?,Audience and segmentation applied to content planning,WPP,Fulfilled,Status workbook: For Updating — This should move from good practice to standard practice across priority work,None identified in scorecard,Audience and segmentation are actively shaping content decisions,Shared,Source dependency: Not provided · Rule-based prerequisites: Dedicated content strategy capability: Fulfilled; Embedded analyst or insight capability: Fulfilled,Not provided
Philippines,Category Expertise,Does the Studio utilize community and social signals used in Content Planning?,Community and social signals applied to content planning,WPP,Fulfilled,"Status workbook: On-Going — While Philippines is proactive in terms of seasonal material, Studio needs to work on moment marketing/trending efforts",None identified in scorecard,Community and social signals should inform content planning where relevant,Shared,Source dependency: Not provided · Rule-based prerequisites: Embedded analyst or insight capability: Fulfilled; Talkwalker or equivalent audience and trend intelligence: Open,Not provided
Thailand,Operational Excellence & Hygiene,Is there a dedicated Nestlé Studio Owner/Manager?,Dedicated Nestlé studio owner or manager,Nestlé,Fulfilled,"Status workbook: Not Applicable — N/A - Someone is handling agency relationships, but not dedicated to CS",None identified in scorecard,"Dedicated Nestlé studio owner with authority across planning, approvals, and operations",Nestlé,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Thailand,Operational Excellence & Hygiene,Is there a Senior Nestlé Sponsor?,Active senior Nestlé sponsorship,Nestlé,Fulfilled,Status workbook: Done — K'Dui Somrudee is the senior from client who lead Communication & Marketing Services,None identified in scorecard,Senior Nestlé sponsor actively supports the studio as a strategic content solution,Nestlé,Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
Thailand,Operational Excellence & Hygiene,Are KPIs aligned and cascaded and agreed on?,Aligned and cascaded KPIs,Nestlé,Fulfilled,Status workbook: On-Going — KPI provided per brief,None identified in scorecard,KPIs are defined at the start and tied to content and business outcomes,"Nestlé sets business priorities, WPP translates into content metrics",Source dependency: Not provided · Rule-based prerequisites: No rule-based prerequisite mapped,Not provided
