Studio,Assessment status,Pillar,Sequence,Stage,Urgency,Action,Owner,Required support,Depends on,Dependency state,Timing,Status,Success measure,Pillar assignment,Pillar contribution,Source
Thailand,Completed assessment,Operational Excellence & Hygiene,3,Unlock,Near term,Review whether the current team structure can support the added creator remit,WPP / Studio,Nestlé to confirm final scope and approve support if needed,Not provided,Required support identified,Next 2 to 4 weeks,Not provided,Clear team design against new scope,Source action sheet,Advances Operational Excellence & Hygiene; completion evidence: Clear team design against new scope,AoA Studios Status Update - Thailand.xlsx · Thailand!14
Thailand,Completed assessment,Production Excellence,4,Build,Near term,Build a joined workflow between creator work and always on studio operations,WPP / Studio,Nestlé to support earlier planning and better brief alignment,Finalize half year scope with clear priorities and expected volume,Blocked by prior action,Next month,Not provided,No parallel working and one planning rhythm,Source action sheet,Advances Production Excellence; completion evidence: No parallel working and one planning rhythm,AoA Studios Status Update - Thailand.xlsx · Thailand!15
Thailand,Completed assessment,Strategic Thinking,5,Embed,Ongoing,Use the creator win to elevate the studio role strategically,Joint,Both sides to build the case and reflect it in governance,Not provided,Required support identified,Ongoing,Not provided,"Thailand seen as an integrated model, not separate workstreams",Source action sheet,"Advances Strategic Thinking; completion evidence: Thailand seen as an integrated model, not separate workstreams",AoA Studios Status Update - Thailand.xlsx · Thailand!16
Thailand,Completed assessment,Strategic Thinking,6,Embed,Timing not provided,Involvement in Annual Content Planning,Not provided,Not provided,Not provided,Owner required,Not provided,Not provided,Not provided,Rule-based from action wording,Advances Strategic Thinking; completion evidence not provided,AoA Studios Status Update - Thailand.xlsx · Thailand!17
Japan,Completed assessment,Operational Excellence & Hygiene,1,Build,Near term,Work on hiring a new dedicated studio lead from WPP,WPP,Hire a Studio Lead to ensure smooth team operations & category expertise (new hire aiming for 2nd half 2026)​,Not provided,Required support identified,May,Not provided,New studio lead,Source action sheet,Advances Operational Excellence & Hygiene; completion evidence: New studio lead,AoA Studios Status Update - Thailand.xlsx · Japan!12
Japan,Completed assessment,Operational Excellence & Hygiene,2,Unlock,Immediate,Evaluate if Nestle has the right leader to lead the studio strategically,Nestlé,Asess current Nestle leadership,Not provided,Required support identified,Immediate,Not provided,New studio manager,Source action sheet,Advances Operational Excellence & Hygiene; completion evidence: New studio manager,AoA Studios Status Update - Thailand.xlsx · Japan!13
Japan,Completed assessment,Strategic Thinking,2,Unlock,Immediate,Reconfirm the realistic scope for the current phase,Nestlé,WPP to recommend a realistic scope based on capacity and demand,Not provided,Required support identified,Immediate,Done - Approved 1.38$M,Agreed scope that matches market reality,Source action sheet,Advances Strategic Thinking; completion evidence: Agreed scope that matches market reality,AoA Studios Status Update - Thailand.xlsx · Japan!14
Japan,Completed assessment,Category Expertise,3,Embed,Near term,Redesign team composition based on the agreed scope,WPP / Studio,"Nestlé to clarify category priorities, especially coffee",Not provided,Required support identified,Next 4 weeks,Not provided,Team structure built around actual need,Source action sheet,Advances Category Expertise; completion evidence: Team structure built around actual need,AoA Studios Status Update - Thailand.xlsx · Japan!15
Japan,Completed assessment,Operational Excellence & Hygiene,4,Unlock,Immediate,Prioritize which categories the studio should truly support,Nestlé,WPP to show capability implications for each category,Not provided,Required support identified,Immediate,Not provided,Narrower and clearer category focus,Source action sheet,Advances Operational Excellence & Hygiene; completion evidence: Narrower and clearer category focus,AoA Studios Status Update - Thailand.xlsx · Japan!16
Japan,Completed assessment,Production Excellence,5,Build,Near term,Build a market stabilization plan before any expansion discussion,WPP / Studio,Nestlé to align on sequencing and pace,Not provided,Required support identified,Next 4 to 6 weeks,Not provided,Phased rebuild plan with milestones,Source action sheet,Advances Production Excellence; completion evidence: Phased rebuild plan with milestones,AoA Studios Status Update - Thailand.xlsx · Japan!17
Japan,Completed assessment,Strategic Thinking,6,Unlock,Near term,Review if local leadership and operating rhythm are strong enough for recovery,Joint,Both sides to review what is missing and who is accountable,Not provided,Required support identified,Next month,Not provided,Confirmed leadership structure and governance rhythm,Source action sheet,Advances Strategic Thinking; completion evidence: Confirmed leadership structure and governance rhythm,AoA Studios Status Update - Thailand.xlsx · Japan!18
MENA,Completed assessment,Operational Excellence & Hygiene,1,Unlock,Immediate,Finalize PO and ACP urgently,Nestlé,WPP to provide the commercial requirement and impact of delay,Not provided,Required support identified,Immediate,Not provided,Approved commercial structure in place,Rule-based from action wording,Advances Operational Excellence & Hygiene; completion evidence: Approved commercial structure in place,AoA Transformation Checklist - MENA.xlsx · MENA!12
MENA,Completed assessment,Operational Excellence & Hygiene,2,Unlock,Immediate,Confirm final scope across brands entering the model,Nestlé,WPP to show resource and production implications,Not provided,Required support identified,Immediate,Not provided,Final approved scope by brand and service type,Rule-based from action wording,Advances Operational Excellence & Hygiene; completion evidence: Final approved scope by brand and service type,AoA Transformation Checklist - MENA.xlsx · MENA!13
MENA,Completed assessment,Production Excellence,2,Build,Gated,Translate scope into the required operating model and team design,WPP / Studio,Nestlé to approve funding and resource plan,Finalize PO and ACP urgently | Confirm final scope across brands entering the model,Blocked by prior action,Right after scope approval,Not provided,Stable resourcing model with no reliance on informal absorption,Rule-based from action wording,Advances Production Excellence; completion evidence: Stable resourcing model with no reliance on informal absorption,AoA Transformation Checklist - MENA.xlsx · MENA!14
MENA,Completed assessment,Production Excellence,3,Unlock,Near term,Define what stays offshore versus what must be embedded in market,WPP / Studio,Nestlé to align on service model and expectations,Not provided,Required support identified,Next 2 to 4 weeks,Not provided,Sustainable production backbone,Rule-based from action wording,Advances Production Excellence; completion evidence: Sustainable production backbone,AoA Transformation Checklist - MENA.xlsx · MENA!15
MENA,Completed assessment,Operational Excellence & Hygiene,4,Build,Immediate,Put in place formal governance now that demand is growing,Joint,Both sides to provide senior market oversight,Not provided,Required support identified,Immediate,Not provided,"Regular operating reviews with decisions on scope, spend, and demand",Rule-based from action wording,"Advances Operational Excellence & Hygiene; completion evidence: Regular operating reviews with decisions on scope, spend, and demand",AoA Transformation Checklist - MENA.xlsx · MENA!16
MENA,Completed assessment,Strategic Thinking,5,Unlock,Immediate,Finalize half year scope with clear priorities and expected volume,Nestlé,WPP to show impact on resource planning,Not provided,Required support identified,Immediate,Not provided,Confirmed scope with volumes and priorities,Rule-based from action wording,Advances Strategic Thinking; completion evidence: Confirmed scope with volumes and priorities,AoA Transformation Checklist - MENA.xlsx · MENA!17
MENA,Completed assessment,Strategic Thinking,6,Embed,Immediate,Realign on more strategic briefs than delivery,Nestlé,Involve the studio on the onset of planning,Not provided,Required support identified,Immediate,Not provided,Not provided,Rule-based from action wording,Advances Strategic Thinking; completion evidence not provided,AoA Transformation Checklist - MENA.xlsx · MENA!18
India,Completed assessment,Strategic Thinking,1,Unlock,Immediate,"Assess whether the current studio lead setup matches the capability required and confirm keep, replace, or strengthen support",Nestlé,WPP to provide capability gaps and recommended role requirements,Not provided,Required support identified,Immediate,Not provided,"Confirmed lead, replacement, or revised leadership structure",Source action sheet,"Advances Strategic Thinking; completion evidence: Confirmed lead, replacement, or revised leadership structure",AoA Transformation Checklist - India.xlsx · India!12
India,Completed assessment,Category Expertise,2,Unlock,Near term,Complete a scope and brief audit across all incoming work,WPP / Studio,Nestlé to provide visibility of actual incoming work and expectations,Not provided,Required support identified,Next 2 to 4 weeks,Not provided,"Clear view of which work should sit with studio, AOR, or elsewhere",Source action sheet,"Advances Category Expertise; completion evidence: Clear view of which work should sit with studio, AOR, or elsewhere",AoA Transformation Checklist - India.xlsx · India!13
India,Completed assessment,Operational Excellence & Hygiene,3,Unlock,Near term,"Redefine the studio scope around real business need, especially confectionery",Joint,Nestlé to lead decision making and WPP to propose the future state model,Not provided,Required support identified,Next 4 weeks,Not provided,Signed off scope with a clear remit,Source action sheet,Advances Operational Excellence & Hygiene; completion evidence: Signed off scope with a clear remit,AoA Transformation Checklist - India.xlsx · India!14
India,Completed assessment,Production Excellence,4,Build,Gated,Rebuild team design against the revised scope,WPP / Studio,Nestlé to approve the required capability and seniority,"Complete a scope and brief audit across all incoming work | Redefine the studio scope around real business need, especially confectionery",Blocked by prior action,After scope sign off,Not provided,Team plan matches actual demand and category needs,Source action sheet,Advances Production Excellence; completion evidence: Team plan matches actual demand and category needs,AoA Transformation Checklist - India.xlsx · India!15
India,Completed assessment,Strategic Thinking,5,Embed,Near term,Set a joint way of working between studio and creative AOR,Joint,"Both sides to agree workflow, decision rights, and handoffs",Not provided,Required support identified,Next 4 to 6 weeks,Not provided,"Fewer quality misses, clearer handoffs, and stronger brand basics",Source action sheet,"Advances Strategic Thinking; completion evidence: Fewer quality misses, clearer handoffs, and stronger brand basics",AoA Transformation Checklist - India.xlsx · India!16
Vietnam,Completed assessment,Operational Excellence & Hygiene,1,Unlock,Immediate,Decide whether the market is serious about building a real studio model,Nestlé,WPP to provide the commercial requirement and impact of delay,Not provided,Required support identified,Immediate,Not provided,Decide whether the market is serious about building a real studio model,Rule-based from action wording,Advances Operational Excellence & Hygiene; completion evidence: Decide whether the market is serious about building a real studio model,AoA Studios Status Update - Thailand.xlsx · VETNAM!12
Vietnam,Completed assessment,Operational Excellence & Hygiene,2,Embed,Immediate,Address the leadership gap,Nestlé,WPP to show resource and production implications,Not provided,Required support identified,Immediate,Not provided,Address the leadership gap,Rule-based from action wording,Advances Operational Excellence & Hygiene; completion evidence: Address the leadership gap,AoA Studios Status Update - Thailand.xlsx · VETNAM!13
Vietnam,Completed assessment,Operational Excellence & Hygiene,2,Embed,Gated,Reassess current scope and whether it is enough to sustain a studio,WPP / Studio,Nestlé to approve funding and resource plan,Not provided,Required support identified,Right after scope approval,Not provided,Reassess current scope and whether it is enough to sustain a studio,Rule-based from action wording,Advances Operational Excellence & Hygiene; completion evidence: Reassess current scope and whether it is enough to sustain a studio,AoA Studios Status Update - Thailand.xlsx · VETNAM!14
Vietnam,Completed assessment,Operational Excellence & Hygiene,3,Unlock,Near term,Define the minimum viable studio model for Vietnam,WPP / Studio,Nestlé to align on service model and expectations,Not provided,Required support identified,Next 2 to 4 weeks,Not provided,Define the minimum viable studio model for Vietnam,Rule-based from action wording,Advances Operational Excellence & Hygiene; completion evidence: Define the minimum viable studio model for Vietnam,AoA Studios Status Update - Thailand.xlsx · VETNAM!15
Vietnam,Completed assessment,Operational Excellence & Hygiene,4,Build,Immediate,Put in place a growth pathway with clear milestones,Joint,Both sides to provide senior market oversight,Not provided,Required support identified,Immediate,Not provided,Put in place a growth pathway with clear milestones,Rule-based from action wording,Advances Operational Excellence & Hygiene; completion evidence: Put in place a growth pathway with clear milestones,AoA Studios Status Update - Thailand.xlsx · VETNAM!16
China,New Studio — baseline assessment pending,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided
Malaysia,Pilot — pilot-stage assessment pending,Strategic Thinking,1,Unlock,Immediate,Define exactly what the pilot is testing,Nestlé,WPP to recommend pilot design and what success should look like,Not provided,Required support identified,Immediate,Not provided,"One page pilot objective, scope, success criteria, and owners",Source action sheet,"Advances Strategic Thinking; completion evidence: One page pilot objective, scope, success criteria, and owners",AoA Studios Status Update - Thailand.xlsx · MYSG!12
Malaysia,Pilot — pilot-stage assessment pending,Category Expertise,2,Build,Immediate,Put proper governance around the pilot,Joint,"Both sides to agree cadence, steering group, and escalation path",Not provided,Required support identified,Immediate,Not provided,"Regular governance with decisions, not just check ins",Source action sheet,"Advances Category Expertise; completion evidence: Regular governance with decisions, not just check ins",AoA Studios Status Update - Thailand.xlsx · MYSG!13
Malaysia,Pilot — pilot-stage assessment pending,Operational Excellence & Hygiene,3,Embed,Near term,Select 1 to 2 high value use cases to prove studio value,WPP / Studio,Nestlé to align on brands and business priorities,Not provided,Required support identified,Next 2 weeks,Not provided,"Pilot focused on strategic proof, not generic output",Source action sheet,"Advances Operational Excellence & Hygiene; completion evidence: Pilot focused on strategic proof, not generic output",AoA Studios Status Update - Thailand.xlsx · MYSG!14
Malaysia,Pilot — pilot-stage assessment pending,Production Excellence,4,Embed,Near term,Clarify what central support is needed versus what the market owns,WPP / Studio,Nestlé to acknowledge the level of support required,Not provided,Required support identified,Next 2 weeks,Not provided,Realistic operating model and support plan,Source action sheet,Advances Production Excellence; completion evidence: Realistic operating model and support plan,AoA Studios Status Update - Thailand.xlsx · MYSG!15
Malaysia,Pilot — pilot-stage assessment pending,Strategic Thinking,5,Unlock,Scheduled,Decide whether the market is moving beyond delivery mode after the pilot,Nestlé,WPP to recommend the next phase based on pilot outcomes,Not provided,Required support identified,End of pilot phase,Not provided,"Go, reshape, or stop decision made",Source action sheet,"Advances Strategic Thinking; completion evidence: Go, reshape, or stop decision made",AoA Studios Status Update - Thailand.xlsx · MYSG!16
